,timesteps,ep_reward,num_updates,episodes
0,11,11.0,0,0
1,14,14.0,0,1
2,37,37.0,0,2
3,25,25.0,0,3
4,17,17.0,0,4
5,13,13.0,0,5
6,21,21.0,0,6
7,20,20.0,0,7
8,19,19.0,0,8
9,12,12.0,0,9
10,20,20.0,0,10
11,54,54.0,0,11
12,16,16.0,0,12
13,29,29.0,0,13
14,10,10.0,0,14
15,45,45.0,0,15
16,15,15.0,0,16
17,13,13.0,0,17
18,30,30.0,0,18
19,24,24.0,0,19
20,16,16.0,0,20
21,14,14.0,0,21
22,11,11.0,0,22
23,11,11.0,0,23
24,15,15.0,0,24
25,11,11.0,0,25
26,44,44.0,0,26
27,15,15.0,0,27
28,25,25.0,0,28
29,21,21.0,0,29
30,14,14.0,0,30
31,35,35.0,0,31
32,15,15.0,0,32
33,15,15.0,0,33
34,44,44.0,0,34
35,30,30.0,0,35
36,20,20.0,0,36
37,11,11.0,0,37
38,28,28.0,0,38
39,15,15.0,0,39
40,20,20.0,0,40
41,18,18.0,0,41
42,15,15.0,0,42
43,13,13.0,0,43
44,22,22.0,0,44
45,53,53.0,0,45
46,12,12.0,0,46
47,24,24.0,0,47
48,18,18.0,0,48
49,21,21.0,0,49
50,24,24.0,0,50
51,14,14.0,0,51
52,17,17.0,0,52
53,16,16.0,0,53
54,45,45.0,0,54
55,12,12.0,0,55
56,9,9.0,0,56
57,15,15.0,0,57
58,20,20.0,0,58
59,16,16.0,0,59
60,20,20.0,0,60
61,14,14.0,0,61
62,38,38.0,0,62
63,12,12.0,0,63
64,10,10.0,0,64
65,9,9.0,0,65
66,11,11.0,0,66
67,22,22.0,0,67
68,17,17.0,0,68
69,14,14.0,0,69
70,15,15.0,0,70
71,11,11.0,0,71
72,26,26.0,0,72
73,13,13.0,0,73
74,18,18.0,0,74
75,11,11.0,0,75
76,18,18.0,0,76
77,26,26.0,0,77
78,26,26.0,0,78
79,27,27.0,0,79
80,24,24.0,0,80
81,22,22.0,0,81
82,35,35.0,0,82
83,9,9.0,0,83
84,12,12.0,0,84
85,22,22.0,0,85
86,30,30.0,0,86
87,15,15.0,0,87
88,23,23.0,0,88
89,24,24.0,0,89
90,30,30.0,0,90
91,15,15.0,0,91
92,12,12.0,0,92
93,10,10.0,0,93
94,18,18.0,0,94
95,18,18.0,0,95
96,86,86.0,1,96
97,25,25.0,0,97
98,23,23.0,0,98
99,22,22.0,0,99
100,20,20.0,0,100
101,18,18.0,0,101
102,40,40.0,0,102
103,16,16.0,0,103
104,17,17.0,0,104
105,52,52.0,0,105
106,25,25.0,0,106
107,33,33.0,0,107
108,51,51.0,0,108
109,16,16.0,0,109
110,33,33.0,0,110
111,41,41.0,0,111
112,17,17.0,0,112
113,37,37.0,0,113
114,25,25.0,0,114
115,44,44.0,0,115
116,17,17.0,0,116
117,17,17.0,0,117
118,23,23.0,0,118
119,79,79.0,0,119
120,69,69.0,0,120
121,45,45.0,0,121
122,38,38.0,0,122
123,50,50.0,0,123
124,19,19.0,0,124
125,13,13.0,0,125
126,34,34.0,0,126
127,54,54.0,0,127
128,10,10.0,0,128
129,15,15.0,0,129
130,29,29.0,0,130
131,38,38.0,0,131
132,22,22.0,0,132
133,55,55.0,0,133
134,25,25.0,0,134
135,50,50.0,0,135
136,35,35.0,0,136
137,26,26.0,0,137
138,14,14.0,0,138
139,22,22.0,0,139
140,13,13.0,0,140
141,34,34.0,0,141
142,26,26.0,0,142
143,24,24.0,0,143
144,34,34.0,0,144
145,18,18.0,0,145
146,26,26.0,0,146
147,16,16.0,0,147
148,18,18.0,0,148
149,14,14.0,0,149
150,20,20.0,0,150
151,64,64.0,0,151
152,44,44.0,0,152
153,25,25.0,0,153
154,18,18.0,0,154
155,56,56.0,0,155
156,58,58.0,0,156
157,24,24.0,0,157
158,16,16.0,0,158
159,52,52.0,0,159
160,26,26.0,1,160
161,58,58.0,0,161
162,45,45.0,0,162
163,31,31.0,0,163
164,20,20.0,0,164
165,30,30.0,0,165
166,38,38.0,0,166
167,76,76.0,0,167
168,92,92.0,0,168
169,15,15.0,0,169
170,27,27.0,0,170
171,45,45.0,0,171
172,36,36.0,0,172
173,22,22.0,0,173
174,42,42.0,0,174
175,70,70.0,0,175
176,72,72.0,0,176
177,18,18.0,0,177
178,19,19.0,0,178
179,35,35.0,0,179
180,14,14.0,0,180
181,30,30.0,0,181
182,33,33.0,0,182
183,22,22.0,0,183
184,15,15.0,0,184
185,21,21.0,0,185
186,62,62.0,0,186
187,50,50.0,0,187
188,22,22.0,0,188
189,92,92.0,0,189
190,15,15.0,0,190
191,88,88.0,0,191
192,40,40.0,0,192
193,27,27.0,0,193
194,30,30.0,0,194
195,24,24.0,0,195
196,13,13.0,0,196
197,50,50.0,0,197
198,99,99.0,0,198
199,27,27.0,0,199
200,38,38.0,0,200
201,71,71.0,0,201
202,66,66.0,0,202
203,47,47.0,0,203
204,43,43.0,0,204
205,23,23.0,0,205
206,11,11.0,0,206
207,100,100.0,0,207
208,37,37.0,1,208
209,100,100.0,0,209
210,87,87.0,0,210
211,42,42.0,0,211
212,76,76.0,0,212
213,81,81.0,0,213
214,23,23.0,0,214
215,56,56.0,0,215
216,58,58.0,0,216
217,46,46.0,0,217
218,90,90.0,0,218
219,41,41.0,0,219
220,35,35.0,0,220
221,100,100.0,0,221
222,32,32.0,0,222
223,77,77.0,0,223
224,100,100.0,0,224
225,100,100.0,0,225
226,71,71.0,0,226
227,49,49.0,0,227
228,24,24.0,0,228
229,38,38.0,0,229
230,17,17.0,0,230
231,61,61.0,0,231
232,92,92.0,0,232
233,69,69.0,0,233
234,18,18.0,0,234
235,38,38.0,0,235
236,84,84.0,0,236
237,87,87.0,0,237
238,57,57.0,0,238
239,23,23.0,0,239
240,15,15.0,0,240
241,74,74.0,0,241
242,47,47.0,1,242
243,61,61.0,0,243
244,62,62.0,0,244
245,100,100.0,0,245
246,100,100.0,0,246
247,12,12.0,0,247
248,100,100.0,0,248
249,100,100.0,0,249
250,13,13.0,0,250
251,99,99.0,0,251
252,100,100.0,0,252
253,45,45.0,0,253
254,100,100.0,0,254
255,100,100.0,0,255
256,100,100.0,0,256
257,100,100.0,0,257
258,81,81.0,0,258
259,67,67.0,0,259
260,100,100.0,0,260
261,63,63.0,0,261
262,100,100.0,0,262
263,82,82.0,0,263
264,42,42.0,0,264
265,22,22.0,0,265
266,38,38.0,0,266
267,100,100.0,0,267
268,100,100.0,0,268
269,100,100.0,1,269
270,100,100.0,0,270
271,57,57.0,0,271
272,100,100.0,0,272
273,18,18.0,0,273
274,100,100.0,0,274
275,98,98.0,0,275
276,100,100.0,0,276
277,100,100.0,0,277
278,100,100.0,0,278
279,100,100.0,0,279
280,100,100.0,0,280
281,18,18.0,0,281
282,76,76.0,0,282
283,76,76.0,0,283
284,100,100.0,0,284
285,100,100.0,0,285
286,100,100.0,0,286
287,100,100.0,0,287
288,100,100.0,0,288
289,76,76.0,0,289
290,100,100.0,0,290
291,96,96.0,1,291
292,100,100.0,0,292
293,100,100.0,0,293
294,70,70.0,0,294
295,100,100.0,0,295
296,100,100.0,0,296
297,100,100.0,0,297
298,10,10.0,0,298
299,66,66.0,0,299
300,100,100.0,0,300
301,100,100.0,0,301
302,100,100.0,0,302
303,100,100.0,0,303
304,100,100.0,0,304
305,62,62.0,0,305
306,100,100.0,0,306
307,76,76.0,0,307
308,100,100.0,0,308
309,100,100.0,0,309
310,100,100.0,0,310
311,100,100.0,0,311
312,100,100.0,0,312
313,100,100.0,0,313
314,100,100.0,1,314
315,100,100.0,0,315
316,100,100.0,0,316
317,100,100.0,0,317
318,100,100.0,0,318
319,100,100.0,0,319
320,100,100.0,0,320
321,100,100.0,0,321
322,100,100.0,0,322
323,100,100.0,0,323
324,100,100.0,0,324
325,100,100.0,0,325
326,100,100.0,0,326
327,100,100.0,0,327
328,100,100.0,0,328
329,100,100.0,0,329
330,100,100.0,0,330
331,100,100.0,0,331
332,100,100.0,0,332
333,100,100.0,0,333
334,100,100.0,1,334
335,100,100.0,0,335
336,100,100.0,0,336
337,100,100.0,0,337
338,100,100.0,0,338
339,100,100.0,0,339
340,100,100.0,0,340
341,100,100.0,0,341
342,100,100.0,0,342
343,100,100.0,0,343
344,100,100.0,0,344
345,100,100.0,0,345
346,100,100.0,0,346
347,100,100.0,0,347
348,100,100.0,0,348
349,100,100.0,0,349
350,42,42.0,0,350
351,100,100.0,0,351
352,100,100.0,0,352
353,100,100.0,0,353
354,100,100.0,1,354
355,100,100.0,0,355
356,100,100.0,0,356
357,98,98.0,0,357
358,100,100.0,0,358
359,100,100.0,0,359
360,100,100.0,0,360
361,100,100.0,0,361
362,100,100.0,0,362
363,100,100.0,0,363
364,94,94.0,0,364
365,100,100.0,0,365
366,100,100.0,0,366
367,100,100.0,0,367
368,100,100.0,0,368
369,92,92.0,0,369
370,100,100.0,0,370
371,100,100.0,0,371
372,100,100.0,0,372
373,100,100.0,0,373
374,100,100.0,1,374
375,100,100.0,0,375
376,100,100.0,0,376
377,100,100.0,0,377
378,100,100.0,0,378
379,100,100.0,0,379
380,97,97.0,0,380
381,100,100.0,0,381
382,100,100.0,0,382
383,100,100.0,0,383
384,100,100.0,0,384
385,100,100.0,0,385
386,100,100.0,0,386
387,100,100.0,0,387
388,100,100.0,0,388
389,100,100.0,0,389
390,100,100.0,0,390
391,100,100.0,0,391
392,100,100.0,0,392
393,99,99.0,0,393
394,100,100.0,1,394
395,99,99.0,0,395
396,100,100.0,0,396
397,100,100.0,0,397
398,100,100.0,0,398
399,100,100.0,0,399
400,100,100.0,0,400
401,100,100.0,0,401
402,100,100.0,0,402
403,100,100.0,0,403
404,100,100.0,0,404
405,100,100.0,0,405
406,100,100.0,0,406
407,100,100.0,0,407
408,100,100.0,0,408
409,100,100.0,0,409
410,100,100.0,0,410
411,100,100.0,0,411
412,100,100.0,0,412
413,100,100.0,0,413
414,100,100.0,1,414
415,100,100.0,0,415
416,100,100.0,0,416
417,100,100.0,0,417
418,100,100.0,0,418
419,100,100.0,0,419
420,100,100.0,0,420
421,100,100.0,0,421
422,100,100.0,0,422
423,100,100.0,0,423
424,100,100.0,0,424
425,100,100.0,0,425
426,100,100.0,0,426
427,100,100.0,0,427
428,100,100.0,0,428
429,100,100.0,0,429
430,100,100.0,0,430
431,100,100.0,0,431
432,100,100.0,0,432
433,100,100.0,0,433
434,100,100.0,1,434
435,100,100.0,0,435
436,100,100.0,0,436
437,100,100.0,0,437
438,100,100.0,0,438
439,100,100.0,0,439
440,100,100.0,0,440
441,94,94.0,0,441
442,100,100.0,0,442
443,100,100.0,0,443
444,100,100.0,0,444
445,100,100.0,0,445
446,100,100.0,0,446
447,100,100.0,0,447
448,100,100.0,0,448
449,100,100.0,0,449
450,54,54.0,0,450
451,100,100.0,0,451
452,28,28.0,0,452
453,100,100.0,0,453
454,94,94.0,0,454
455,100,100.0,0,455
456,100,100.0,1,456
457,100,100.0,0,457
458,100,100.0,0,458
