,timesteps,ep_reward,num_updates,episodes
0,200,-389.5545399806034,0,0
1,100,-193.41729680808984,0,1
2,200,-263.71965625030913,0,2
3,90,-169.11912007559405,0,3
4,200,-245.988892492039,0,4
5,200,-388.9853371213851,0,5
6,200,-293.2166037422341,0,6
7,200,-258.3321141604414,0,7
8,200,-348.78706272738634,0,8
9,200,-380.79079688800806,0,9
10,200,-375.32130871596024,0,10
11,200,-371.1850663943927,1,11
12,200,-259.092505576407,0,12
13,200,-374.95015629715635,0,13
14,200,-307.49829472037436,0,14
15,153,-268.54989157577785,0,15
16,200,-264.71031022305965,0,16
17,200,-219.3221428221586,0,17
18,200,-383.888259670421,0,18
19,200,-361.05446775421257,0,19
20,200,-278.6280369342592,0,20
21,133,-128.8146290017949,1,21
22,200,-310.1833682828302,0,22
23,200,-285.7177612425283,0,23
24,200,-370.9053798514214,0,24
25,185,-245.8921537518743,0,25
26,200,-267.95132827295595,0,26
27,200,-270.47878613668706,0,27
28,200,-264.365119168884,0,28
29,200,-261.7348012806639,0,29
30,164,-223.2780253122244,0,30
31,200,-252.06826288043396,1,31
32,200,-378.63294822957016,0,32
33,65,-122.80149532919789,0,33
34,176,-233.42344839224683,0,34
35,200,-304.9423606278105,0,35
36,200,-378.2130036970767,0,36
37,49,-86.8105486503531,0,37
38,87,-102.18153213837088,0,38
39,200,-222.4415742346325,0,39
40,200,-287.484977889396,0,40
41,200,-269.8104131740647,0,41
42,131,-233.57086939355668,0,42
43,200,-325.13058566840147,0,43
44,76,-116.25491023616954,1,44
45,78,-153.5017347189143,0,45
46,55,-96.29764215881885,0,46
47,200,-347.4809459459404,0,47
48,200,-244.42953537435116,0,48
49,109,-212.34155006022348,0,49
50,59,-102.14150404636037,0,50
51,200,-332.3589828197731,0,51
52,31,-55.136251944473706,0,52
53,112,-161.09327593741054,0,53
54,200,-300.4388879247351,0,54
55,200,-230.20714533363923,0,55
56,78,-107.44501966275047,0,56
57,39,-69.78011915570255,0,57
58,32,-59.98651512033137,0,58
59,180,-211.26674033904894,0,59
60,98,-77.28240404146793,0,60
61,169,-216.07372882981207,1,61
62,28,-50.25123631328479,0,62
63,200,-253.0738997309193,0,63
64,44,-80.85456096347013,0,64
65,200,-278.902182273567,0,65
66,31,-54.34987927129594,0,66
67,146,-195.3024637229666,0,67
68,71,-55.80521126674631,0,68
69,200,-262.3402958196527,0,69
70,24,-42.91268455359387,0,70
71,200,-286.68468229163483,0,71
72,37,-62.68029629171314,0,72
73,66,-96.76255725118442,0,73
74,18,-31.234575230248343,0,74
75,62,-78.22918482378667,0,75
76,200,-252.78039583899442,0,76
77,23,-38.37299273358681,0,77
78,29,-47.918517344890574,0,78
79,34,-64.12564282761797,0,79
80,200,-348.34053124066673,0,80
81,200,-262.31268232538895,1,81
82,25,-43.827374045399445,0,82
83,167,-241.75834519428528,0,83
84,19,-34.96473244309046,0,84
85,175,-189.81762196649152,0,85
86,21,-37.602798222371845,0,86
87,20,-35.61432219288025,0,87
88,147,-179.59491313820752,0,88
89,29,-55.387744573331354,0,89
90,25,-44.68832803279204,0,90
91,23,-41.50845234880594,0,91
92,200,-257.9264872432621,0,92
93,119,-172.5606709682995,0,93
94,200,-267.61775098908544,0,94
95,200,-262.9358274482612,0,95
96,28,-50.32317668707636,0,96
97,200,-250.32120108092508,0,97
98,23,-39.34663091894625,0,98
99,28,-51.51969773405991,0,99
100,153,-219.02266851905372,0,100
101,102,-118.28085443788932,0,101
102,52,-51.62643699508977,1,102
103,19,-35.98734871152313,0,103
104,18,-29.759993927319815,0,104
105,16,-27.642853865512382,0,105
106,17,-31.9317233891019,0,106
107,23,-43.420057936156894,0,107
108,20,-35.34127328284794,0,108
109,55,-50.09996704825663,0,109
110,133,-183.19335153372745,0,110
111,131,-165.01103540220421,0,111
112,200,-272.5041335752167,0,112
113,18,-32.61333671294962,0,113
114,151,-211.04523924383898,0,114
115,27,-41.94003516095812,0,115
116,200,-265.32107711322175,0,116
117,132,-170.4361114131217,0,117
118,200,-295.10594824170005,0,118
119,200,-291.0479570246842,0,119
120,22,-37.674838839165965,0,120
121,26,-48.54854275905275,0,121
122,21,-39.037593722787776,0,122
123,16,-28.505685420019052,0,123
124,45,-53.98016966123955,0,124
125,200,-289.88730526612926,0,125
126,19,-33.17861230813921,0,126
127,200,-247.722105916001,1,127
128,16,-29.184406346211397,0,128
129,16,-29.437297784266296,0,129
130,151,-217.33144549837448,0,130
131,42,-49.51948980588253,0,131
132,27,-51.679530800776206,0,132
133,31,-56.84835097786815,0,133
134,200,-260.1287405674176,0,134
135,24,-43.4405963129024,0,135
136,159,-178.84517617954185,0,136
137,20,-35.317015690456095,0,137
138,16,-29.209545692212213,0,138
139,200,-248.0389002095825,0,139
140,152,-160.25737211578547,0,140
141,92,-125.2272721213979,0,141
142,52,-47.04792421221164,0,142
143,147,-185.35215170244282,0,143
144,19,-35.29340065391013,0,144
145,18,-28.974878478385715,0,145
146,158,-213.03733390259055,0,146
147,99,-105.2746552555408,0,147
148,17,-31.851056228686204,0,148
149,21,-36.80195830498537,0,149
150,94,-110.93732511616666,0,150
151,24,-40.65927034919027,0,151
152,60,-86.47469738839717,0,152
153,17,-28.555408559945004,0,153
154,22,-37.167454571135565,1,154
155,146,-213.95851059879735,0,155
156,24,-42.06318165023608,0,156
157,84,-102.2259695840456,0,157
158,16,-29.070272547076474,0,158
