,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.52
1,20,-1.0,199,4000,0.38
2,20,0.0,299,6000,0.61
3,20,1.0,399,8000,0.56
4,20,-1.0,499,10000,0.66
5,20,0.0,599,12000,0.4
6,20,3.0,699,14000,0.7
7,20,1.0,799,16000,0.71
8,20,1.0,899,18000,0.88
9,20,0.0,999,20000,0.74
10,20,1.0,1099,22000,0.72
11,20,1.0,1199,24000,0.78
12,20,1.0,1299,26000,0.81
13,20,0.0,1399,28000,1.03
14,20,0.0,1499,30000,0.84
15,20,0.0,1599,32000,1.02
16,20,1.0,1699,34000,0.78
17,20,2.0,1799,36000,1.08
18,20,1.0,1899,38000,1.01
19,20,3.0,1999,40000,1.13
20,20,0.0,2099,42000,0.99
21,20,2.0,2199,44000,1.02
22,20,1.0,2299,46000,0.97
23,20,1.0,2399,48000,1.02
24,20,2.0,2499,50000,1.21
25,20,1.0,2599,52000,1.1
26,20,1.0,2699,54000,1.04
27,20,0.0,2799,56000,1.22
28,20,2.0,2899,58000,1.11
29,20,2.0,2999,60000,1.25
30,20,3.0,3099,62000,1.17
31,20,2.0,3199,64000,1.31
32,20,1.0,3299,66000,1.21
33,20,0.0,3399,68000,1.22
34,20,2.0,3499,70000,1.29
35,20,3.0,3599,72000,1.24
36,20,2.0,3699,74000,1.34
37,20,2.0,3799,76000,1.04
38,20,2.0,3899,78000,1.16
39,20,1.0,3999,80000,1.41
40,20,1.0,4099,82000,1.18
41,20,2.0,4199,84000,1.51
42,20,3.0,4299,86000,1.4
43,20,0.0,4399,88000,1.39
44,20,-1.0,4499,90000,1.27
45,20,3.0,4599,92000,1.45
46,20,3.0,4699,94000,1.27
47,20,3.0,4799,96000,1.29
48,20,3.0,4899,98000,1.42
49,20,2.0,4999,100000,1.28
