,episode_length,ep_reward,episodes,total_step,average_return
0,20,2.0,99,2000,0.33
1,20,1.0,199,4000,0.4
2,20,0.0,299,6000,0.34
3,20,0.0,399,8000,0.29
4,20,-2.0,499,10000,0.28
5,20,0.0,599,12000,0.24
6,20,0.0,699,14000,0.31
7,20,0.0,799,16000,0.29
8,20,2.0,899,18000,0.48
9,20,0.0,999,20000,0.36
10,20,-1.0,1099,22000,0.38
11,20,1.0,1199,24000,0.6
12,20,2.0,1299,26000,0.61
13,20,-2.0,1399,28000,0.49
14,20,1.0,1499,30000,0.62
15,20,0.0,1599,32000,0.77
16,20,0.0,1699,34000,0.93
17,20,0.0,1799,36000,0.88
18,20,3.0,1899,38000,0.85
19,20,1.0,1999,40000,1.05
20,20,1.0,2099,42000,0.75
21,20,1.0,2199,44000,1.01
22,20,1.0,2299,46000,0.95
23,20,-1.0,2399,48000,1.04
24,20,2.0,2499,50000,1.04
25,20,0.0,2599,52000,1.09
26,20,1.0,2699,54000,0.97
27,20,2.0,2799,56000,0.96
28,20,2.0,2899,58000,1.06
29,20,2.0,2999,60000,0.83
30,20,1.0,3099,62000,0.91
31,20,1.0,3199,64000,1.11
32,20,1.0,3299,66000,1.02
33,20,2.0,3399,68000,0.98
34,20,-1.0,3499,70000,0.99
35,20,0.0,3599,72000,0.93
36,20,0.0,3699,74000,1.06
37,20,1.0,3799,76000,1.06
38,20,3.0,3899,78000,0.98
39,20,-2.0,3999,80000,1.04
40,20,1.0,4099,82000,0.97
41,20,0.0,4199,84000,1.12
42,20,2.0,4299,86000,1.04
43,20,2.0,4399,88000,1.24
44,20,0.0,4499,90000,1.08
45,20,1.0,4599,92000,1.07
46,20,0.0,4699,94000,0.99
47,20,1.0,4799,96000,1.02
48,20,1.0,4899,98000,1.35
49,20,2.0,4999,100000,1.24
